depth,move number,Minimax NewHeur Prunings,Minimax OldHeur Prunings,Winner,Who First
4,1,143,0,--,new
4,2,238,112,--,new
4,3,297,286,--,new
4,4,255,195,--,new
4,5,242,105,--,new
4,6,135,86,--,new
4,7,75,42,--,new
4,8,75,33,--,new
4,9,39,28,--,new
4,10,21,20,--,new
4,0,0,0,new,new
4,1,143,0,--,new
4,2,238,112,--,new
4,3,297,286,--,new
4,4,255,195,--,new
4,5,242,105,--,new
4,6,135,86,--,new
4,7,75,42,--,new
4,8,75,33,--,new
4,9,39,28,--,new
4,10,21,20,--,new
4,0,0,0,new,new
4,1,143,0,--,new
4,2,238,112,--,new
4,3,297,286,--,new
4,4,255,195,--,new
4,5,242,105,--,new
4,6,135,86,--,new
4,7,75,42,--,new
4,8,75,33,--,new
4,9,39,28,--,new
4,10,21,20,--,new
4,0,0,0,new,new
4,1,143,0,--,new
4,2,238,112,--,new
4,3,297,286,--,new
4,4,255,195,--,new
4,5,242,105,--,new
4,6,135,86,--,new
4,7,75,42,--,new
4,8,75,33,--,new
4,9,39,28,--,new
4,10,21,20,--,new
4,0,0,0,new,new
4,1,143,0,--,new
4,2,238,112,--,new
4,3,297,286,--,new
4,4,255,195,--,new
4,5,242,105,--,new
4,6,135,86,--,new
4,7,75,42,--,new
4,8,75,33,--,new
4,9,39,28,--,new
4,10,21,20,--,new
4,0,0,0,new,new
4,1,213,0,--,old
4,2,190,105,--,old
4,3,237,56,--,old
4,4,212,86,--,old
4,5,183,194,--,old
4,6,68,113,--,old
4,7,79,78,--,old
4,8,45,46,--,old
4,9,7,24,--,old
4,10,0,21,--,old
4,11,0,15,--,old
4,0,0,0,new,old
4,1,213,0,--,old
4,2,190,105,--,old
4,3,237,56,--,old
4,4,212,86,--,old
4,5,183,194,--,old
4,6,68,113,--,old
4,7,79,78,--,old
4,8,45,46,--,old
4,9,7,24,--,old
4,10,0,21,--,old
4,11,0,15,--,old
4,0,0,0,new,old
4,1,213,0,--,old
4,2,190,105,--,old
4,3,237,56,--,old
4,4,212,86,--,old
4,5,183,194,--,old
4,6,68,113,--,old
4,7,79,78,--,old
4,8,45,46,--,old
4,9,7,24,--,old
4,10,0,21,--,old
4,11,0,15,--,old
4,0,0,0,new,old
4,1,213,0,--,old
4,2,190,105,--,old
4,3,237,56,--,old
4,4,212,86,--,old
4,5,183,194,--,old
4,6,68,113,--,old
4,7,79,78,--,old
4,8,45,46,--,old
4,9,7,24,--,old
4,10,0,21,--,old
4,11,0,15,--,old
4,0,0,0,new,old
4,1,213,0,--,old
4,2,190,105,--,old
4,3,237,56,--,old
4,4,212,86,--,old
4,5,183,194,--,old
4,6,68,113,--,old
4,7,79,78,--,old
4,8,45,46,--,old
4,9,7,24,--,old
4,10,0,21,--,old
4,11,0,15,--,old
4,0,0,0,new,old
