depth,move number,Prunings,Winner,Which Heur,Who First
5,1,10522,--,new,RB
5,2,9117,--,new,RB
5,3,6725,--,new,RB
5,4,5387,--,new,RB
5,5,3729,--,new,RB
5,6,2198,--,new,RB
5,7,1237,--,new,RB
5,0,0,O,new,RB
5,1,10549,--,new,RB
5,2,10107,--,new,RB
5,3,7441,--,new,RB
5,4,5579,--,new,RB
5,5,3910,--,new,RB
5,6,2317,--,new,RB
5,7,1316,--,new,RB
5,0,0,O,new,RB
5,1,10626,--,new,RB
5,2,9279,--,new,RB
5,3,7492,--,new,RB
5,4,5210,--,new,RB
5,5,2581,--,new,RB
5,6,1897,--,new,RB
5,7,1255,--,new,RB
5,8,653,--,new,RB
5,9,225,--,new,RB
5,0,0,O,new,RB
5,1,10549,--,new,RB
5,2,10179,--,new,RB
5,3,7519,--,new,RB
5,4,5509,--,new,RB
5,5,3603,--,new,RB
5,6,2190,--,new,RB
5,7,1413,--,new,RB
5,0,0,O,new,RB
5,1,10601,--,new,RB
5,2,9900,--,new,RB
5,3,7653,--,new,RB
5,4,4388,--,new,RB
5,5,3215,--,new,RB
5,6,2253,--,new,RB
5,0,0,O,new,RB
5,1,9111,--,new,RB
5,2,9754,--,new,RB
5,3,7398,--,new,RB
5,4,4705,--,new,RB
5,5,3450,--,new,RB
5,6,1821,--,new,RB
5,0,0,O,new,RB
5,1,9874,--,new,RB
5,2,10421,--,new,RB
5,3,7546,--,new,RB
5,4,5155,--,new,RB
5,5,3607,--,new,RB
5,6,2384,--,new,RB
5,0,0,O,new,RB
5,1,10558,--,new,RB
5,2,9391,--,new,RB
5,3,7500,--,new,RB
5,4,5074,--,new,RB
5,5,3577,--,new,RB
5,6,2544,--,new,RB
5,7,1178,--,new,RB
5,8,718,--,new,RB
5,0,0,O,new,RB
5,1,10522,--,new,RB
5,2,9117,--,new,RB
5,3,7604,--,new,RB
5,4,4850,--,new,RB
5,5,3699,--,new,RB
5,6,2416,--,new,RB
5,7,1443,--,new,RB
5,0,0,O,new,RB
5,1,10627,--,new,RB
5,2,9946,--,new,RB
5,3,7542,--,new,RB
5,4,3315,--,new,RB
5,5,3555,--,new,RB
5,6,2142,--,new,RB
5,7,1205,--,new,RB
5,8,581,--,new,RB
5,9,273,--,new,RB
5,10,95,--,new,RB
5,11,18,--,new,RB
5,12,0,--,new,RB
5,0,0,O,new,RB
5,1,10499,--,new,RB
5,2,9844,--,new,RB
5,3,7559,--,new,RB
5,4,5645,--,new,RB
5,5,3628,--,new,RB
5,6,2182,--,new,RB
5,0,0,O,new,RB
5,1,10529,--,new,RB
5,2,9055,--,new,RB
5,3,7220,--,new,RB
5,4,5451,--,new,RB
5,5,3579,--,new,RB
5,6,2044,--,new,RB
5,7,1274,--,new,RB
5,8,759,--,new,RB
5,0,0,O,new,RB
5,1,9874,--,new,RB
5,2,10006,--,new,RB
5,3,6720,--,new,RB
5,4,4970,--,new,RB
5,5,3654,--,new,RB
5,6,2331,--,new,RB
5,7,1417,--,new,RB
5,0,0,O,new,RB
5,1,10054,--,new,RB
5,2,10175,--,new,RB
5,3,7277,--,new,RB
5,4,4660,--,new,RB
5,5,3315,--,new,RB
5,6,2030,--,new,RB
5,7,1264,--,new,RB
5,8,576,--,new,RB
5,9,351,--,new,RB
5,0,0,O,new,RB
5,1,9874,--,new,RB
5,2,10133,--,new,RB
5,3,7595,--,new,RB
5,4,4976,--,new,RB
5,5,3199,--,new,RB
5,6,2342,--,new,RB
5,7,1424,--,new,RB
5,0,0,O,new,RB
5,1,9291,--,new,RB
5,2,10149,--,new,RB
5,3,7438,--,new,RB
5,4,4931,--,new,RB
5,5,3013,--,new,RB
5,6,2350,--,new,RB
5,7,1319,--,new,RB
5,8,820,--,new,RB
5,9,377,--,new,RB
5,0,0,O,new,RB
5,1,10054,--,new,RB
5,2,9829,--,new,RB
5,3,7241,--,new,RB
5,4,4834,--,new,RB
5,5,3776,--,new,RB
5,6,2306,--,new,RB
5,0,0,O,new,RB
5,1,10558,--,new,RB
5,2,10063,--,new,RB
