depth,move number,Going First,Minimax Bot time to Make Move,Winner

5,1,0,9.480525016784668,

5,2,0,3.810119390487671,

5,3,0,1.9947988986968994,

5,4,0,4.397427797317505,

5,5,0,1.862947702407837,

5,6,0,0.9390010833740234,

5,7,0,0.35500097274780273,

5,8,0,0.2565145492553711,

5,9,0,0.14300084114074707,X

5,1,0,9.663646459579468,

5,2,0,3.1065475940704346,

5,3,0,1.5360000133514404,

5,4,0,1.3758516311645508,

5,5,0,1.9870870113372803,

5,6,0,0.9220001697540283,X

5,1,0,9.57267165184021,

5,2,0,2.9891276359558105,

5,3,0,1.8776731491088867,

5,4,0,3.9400081634521484,

5,5,0,1.0930447578430176,

5,6,0,0.613300085067749,

5,7,0,0.412001371383667,X

5,1,0,9.582829236984253,

5,2,0,7.277621746063232,

5,3,0,3.6865477561950684,

5,4,0,4.529841184616089,

5,5,0,2.169931173324585,

5,6,0,0.96099853515625,

5,7,0,0.39244914054870605,X

5,1,0,9.531889200210571,

5,2,0,3.263617753982544,

5,3,0,3.548999547958374,

5,4,0,1.368520975112915,

5,5,0,2.2814745903015137,

5,6,0,0.6030130386352539,

5,7,0,0.27701330184936523,

5,8,0,0.12589073181152344,X

5,1,0,9.469445705413818,

5,2,0,3.2879185676574707,

5,3,0,2.100048303604126,

5,4,0,2.6933701038360596,

5,5,0,1.0689995288848877,

5,6,0,0.5689997673034668,X

5,1,0,9.486842632293701,

5,2,0,5.131781578063965,

5,3,0,2.5589399337768555,

5,4,0,2.3350017070770264,

5,5,0,0.8750021457672119,

5,6,0,0.7459986209869385,

5,7,0,0.32599878311157227,

5,8,0,0.3299994468688965,X

5,1,0,9.431757926940918,

5,2,0,5.100155830383301,

5,3,0,1.670030117034912,

5,4,0,2.055025577545166,

5,5,0,1.2320020198822021,

5,6,0,0.7849993705749512,

5,7,0,0.3039994239807129,X

5,1,0,9.531592845916748,

5,2,0,3.3379719257354736,

5,3,0,2.609304666519165,

5,4,0,4.366069316864014,

5,5,0,2.558128833770752,

5,6,0,0.7070000171661377,

5,7,0,0.3679993152618408,X

5,1,0,9.489670515060425,

5,2,0,2.9530375003814697,

5,3,0,1.98244309425354,

5,4,0,2.833998680114746,

5,5,0,1.1145179271697998,

5,6,0,0.7850003242492676,

5,7,0,0.5399999618530273,X

5,1,0,9.452152967453003,

5,2,0,3.89101505279541,

5,3,0,2.108020305633545,

5,4,0,2.8106305599212646,

5,5,0,1.4599299430847168,

5,6,0,1.0439658164978027,

5,7,0,0.515955924987793,

5,8,0,0.2520003318786621,X

5,1,0,9.4485445022583,

5,2,0,5.202691555023193,

5,3,0,2.8240013122558594,

5,4,0,3.963998794555664,

5,5,0,1.3199992179870605,

5,6,0,0.5529999732971191,

5,7,0,0.5990011692047119,X

5,1,0,9.64153242111206,

5,2,0,5.237584352493286,

5,3,0,1.6657145023345947,

5,4,0,3.85080885887146,

5,5,0,1.806495189666748,

5,6,0,0.8490562438964844,

5,7,0,0.5617804527282715,

5,8,0,0.31999754905700684,

5,9,0,0.1230020523071289,X

5,1,0,9.611125946044922,

5,2,0,7.231905937194824,

5,3,0,2.1055190563201904,

5,4,0,3.621635675430298,

5,5,0,1.6665194034576416,

5,6,0,0.6110377311706543,X

5,1,0,9.55546259880066,

5,2,0,5.302685022354126,

5,3,0,1.7394943237304688,

5,4,0,4.322044610977173,

5,5,0,1.509002685546875,

5,6,0,0.6949982643127441,X

5,1,0,9.585602283477783,

5,2,0,5.366426706314087,

5,3,0,2.6410012245178223,

5,4,0,3.8312032222747803,

5,5,0,2.2760009765625,

5,6,0,0.6409993171691895,

5,7,0,0.4570000171661377,

5,8,0,0.2570018768310547,

5,9,0,0.11499810218811035,

5,10,0,0.04599905014038086,X

5,1,0,9.549951314926147,

5,2,0,7.196641206741333,

5,3,0,1.8400018215179443,

5,4,0,3.9735429286956787,

5,5,0,1.3379993438720703,

5,6,0,0.7709987163543701,

5,7,0,0.36500000953674316,X

5,1,0,9.424000024795532,

5,2,0,3.270001173019409,

5,3,0,2.124016523361206,

5,4,0,3.1069979667663574,

5,5,0,2.2719995975494385,

5,6,0,1.3180010318756104,

5,7,0,0.4519991874694824,

5,8,0,0.20600008964538574,

5,9,0,0.11400103569030762,X

5,1,0,9.483546733856201,

5,2,0,3.1604764461517334,

5,3,0,1.923996925354004,

5,4,0,1.384000539779663,

5,5,0,1.1050000190734863,

5,6,0,0.5310006141662598,X

5,1,0,9.406036138534546,

5,2,0,3.312892436981201,

5,3,0,3.2910099029541016,

5,4,0,1.271000623703003,

5,5,0,0.8250010013580322,

5,6,0,1.1969976425170898,

5,7,0,0.37399983406066895,

5,8,0,0.2370002269744873,X

5,1,0,9.450079202651978,

5,2,0,3.2490317821502686,

5,3,0,3.5590405464172363,

